x,sinx,cosx
-360,-1.46928E-05,1
-359,0.0174378,0.999848
-358,0.0348849,0.999391
-357,0.0523214,0.99863
-356,0.069742,0.997565
-355,0.0871413,0.996196
-354,0.104514,0.994523
-353,0.121855,0.992548
-352,0.139159,0.99027
-351,0.15642,0.987691
-350,0.173634,0.98481
-349,0.190795,0.98163
-348,0.207898,0.978151
-347,0.224937,0.974373
-346,0.241908,0.970299
-345,0.258805,0.965929
-344,0.275624,0.961266
-343,0.292358,0.956309
-342,0.309004,0.951061
-341,0.325555,0.945523
-340,0.342007,0.939697
-339,0.358355,0.933585
-338,0.374594,0.927189
-337,0.390718,0.92051
-336,0.406724,0.913551
-335,0.422606,0.906314
-334,0.438359,0.8988
-333,0.453978,0.891013
-332,0.46946,0.882954
-331,0.484798,0.874626
-330,0.499988,0.866032
-329,0.515027,0.857174
-328,0.529908,0.848055
-327,0.544628,0.838678
-326,0.559182,0.829045
-325,0.573566,0.81916
-324,0.587775,0.809025
-323,0.601804,0.798643
-322,0.615651,0.788019
-321,0.62931,0.777154
-320,0.642778,0.766053
-319,0.656049,0.754718
-318,0.669121,0.743154
-317,0.681989,0.731363
-316,0.694649,0.719349
-315,0.707098,0.707116
-314,0.719331,0.694668
-313,0.731345,0.682008
-312,0.743136,0.66914
-311,0.754701,0.656069
-310,0.766036,0.642797
-309,0.777138,0.62933
-308,0.788003,0.615671
-307,0.798628,0.601825
-306,0.80901,0.587795
-305,0.819145,0.573587
-304,0.829031,0.559203
-303,0.838664,0.544649
-302,0.848042,0.52993
-301,0.857161,0.515049
-300,0.866019,0.500011
-299,0.874614,0.48482
-298,0.882942,0.469482
-297,0.891001,0.454001
-296,0.898789,0.438382
-295,0.906303,0.422629
-294,0.913541,0.406748
-293,0.9205,0.390742
-292,0.927179,0.374618
-291,0.933576,0.358379
-290,0.939689,0.342031
-289,0.945515,0.325579
-288,0.951053,0.309028
-287,0.956301,0.292383
-286,0.961258,0.275649
-285,0.965923,0.25883
-284,0.970293,0.241933
-283,0.974367,0.224962
-282,0.978145,0.207923
-281,0.981625,0.19082
-280,0.984806,0.173659
-279,0.987687,0.156446
-278,0.990266,0.139184
-277,0.992545,0.121881
-276,0.994521,0.10454
-275,0.996194,0.0871669
-274,0.997563,0.0697676
-273,0.998629,0.0523471
-272,0.99939,0.0349106
-271,0.999848,0.0174635
-270,1,1.10196E-05
-269,0.999848,-0.0174414
-268,0.999391,-0.0348886
-267,0.99863,-0.0523251
-266,0.997565,-0.0697456
-265,0.996196,-0.087145
-264,0.994523,-0.104518
-263,0.992547,-0.121859
-262,0.99027,-0.139163
-261,0.98769,-0.156424
-260,0.98481,-0.173638
-259,0.981629,-0.190799
-258,0.97815,-0.207901
-257,0.974372,-0.224941
-256,0.970298,-0.241912
-255,0.965929,-0.258809
-254,0.961265,-0.275627
-253,0.956308,-0.292362
-252,0.95106,-0.309007
-251,0.945522,-0.325558
-250,0.939696,-0.342011
-249,0.933584,-0.358358
-248,0.927188,-0.374597
-247,0.920509,-0.390722
-246,0.91355,-0.406727
-245,0.906312,-0.422609
-244,0.898798,-0.438362
-243,0.891011,-0.453982
-242,0.882952,-0.469463
-241,0.874624,-0.484801
-240,0.86603,-0.499992
-239,0.857172,-0.51503
-238,0.848053,-0.529911
-237,0.838676,-0.544631
-236,0.829043,-0.559185
-235,0.819158,-0.573569
-234,0.809023,-0.587778
-233,0.798641,-0.601807
-232,0.788017,-0.615654
-231,0.777152,-0.629313
-230,0.76605,-0.64278
-229,0.754716,-0.656052
-228,0.743151,-0.669124
-227,0.73136,-0.681992
-226,0.719346,-0.694652
-225,0.707113,-0.7071
-224,0.694665,-0.719333
-223,0.682005,-0.731347
-222,0.669137,-0.743139
-221,0.656066,-0.754704
-220,0.642794,-0.766039
-219,0.629327,-0.77714
-218,0.615668,-0.788005
-217,0.601822,-0.79863
-216,0.587792,-0.809012
-215,0.573584,-0.819147
-214,0.5592,-0.829033
-213,0.544646,-0.838666
-212,0.529927,-0.848044
-211,0.515045,-0.857163
-210,0.500007,-0.866021
-209,0.484817,-0.874616
-208,0.469479,-0.882944
-207,0.453998,-0.891003
-206,0.438379,-0.89879
-205,0.422626,-0.906304
-204,0.406744,-0.913542
-203,0.390739,-0.920502
-202,0.374614,-0.927181
-201,0.358376,-0.933577
-200,0.342028,-0.93969
-199,0.325576,-0.945516
-198,0.309025,-0.951054
-197,0.292379,-0.956302
-196,0.275645,-0.961259
-195,0.258827,-0.965924
-194,0.24193,-0.970294
-193,0.224959,-0.974368
-192,0.207919,-0.978146
-191,0.190817,-0.981626
-190,0.173656,-0.984806
-189,0.156442,-0.987687
-188,0.139181,-0.990267
-187,0.121877,-0.992545
-186,0.104536,-0.994521
-185,0.0871633,-0.996194
-184,0.069764,-0.997564
-183,0.0523434,-0.998629
-182,0.0349069,-0.999391
-181,0.0174598,-0.999848
-180,7.34641E-06,-1
-179,-0.0174451,-0.999848
-178,-0.0348922,-0.999391
-177,-0.0523287,-0.99863
-176,-0.0697493,-0.997565
-175,-0.0871486,-0.996195
-174,-0.104521,-0.994523
-173,-0.121862,-0.992547
-172,-0.139166,-0.990269
-171,-0.156428,-0.987689
-170,-0.173641,-0.984809
